iddepto,nomdepto,idmpio,nompio,codigohabilitacion,nombre,nitsnit,ese,direccion,telefono,email,najunombre,numerosedeprincipal,fecha_corte_REPS
91,Amazonas,91001,LETICIA,9100100019,E.S.E. HOSPITAL SAN RAFAEL DE LETICIA,838000096,SI,Carrera 10 NO. 13-78 Leticia (Amazonas),3203048903-3204650596,gerencia@esehospitalsanrafael-leticia-amazonas.gov.co,Pública,1,Fecha corte REPS: Mar 6 2021 9:12PM
91,Amazonas,91001,LETICIA,9100100185,FREYA SKIN AND BODY CARE S.A.S TWO,901438650,,CRA.8 A No.8-56,3186435065,freya.skinandbodycare@gmail.com,Privada,1,Fecha corte REPS: Mar 6 2021 9:12PM
91,Amazonas,91001,LETICIA,9100100069,FUNDACION CLINICA LETICIA,900142282,NO,AK INTERNACIONAL No 6-05,985927718,direccion@fundacionclinicaleticia.com.co,Privada,1,Fecha corte REPS: Mar 6 2021 9:12PM
91,Amazonas,91001,LETICIA,9100100158,IMPROVE QUALITY REDUCE COST SAVE LIFES AUDITORES SAS (QCL AUDITORES SAS),900784482,,CRA. 6 No. 8 - 76,3104769842,servisaludqcl@gmail.com,Privada,1,Fecha corte REPS: Mar 6 2021 9:12PM
91,Amazonas,91001,LETICIA,9100100144,"INSTITUTO PARA LA PREVENCIÓN, EL TRATAMIENTO Y REHABILITACIÓN DE LAS ENFERMEDADES INMUNOSUPRESORAS SAS - RENACERA",900275974,,CARRERA 4 No. 1 - 55 Barrio Colombia,5925096,renaceraipsas@gmail.com,Privada,1,Fecha corte REPS: Mar 6 2021 9:12PM
91,Amazonas,91001,LETICIA,9100100178,Inversiones Portilla SAS,901179619,,Carrera9 No 11 - 39,3153635191,nanaportilla66@hotmail.com,Privada,1,Fecha corte REPS: Mar 6 2021 9:12PM
91,Amazonas,91001,LETICIA,9100100168,IPS INDÍGENA MALLAMAS,837000084,NO,CRA 9 No. 9-67,5925324,leticiacontacto@ipsmallamas,Pública,1,Fecha corte REPS: Mar 6 2021 9:12PM
91,Amazonas,91001,LETICIA,9100100111,IPS INDIGENA TRAPECIO AMAZONICO,900507834,NO,CALLE 14 No.10-79,3202350593,fabiomarin@hotmail.com,Privada,1,Fecha corte REPS: Mar 6 2021 9:12PM
91,Amazonas,91001,LETICIA,9100100161,IPS NUEVO AMAZONAS S.A.S,901014934,,CRA. 10 #14-07 ED XAMMARA LC 2,3014658293,henrypo69@hotmail.com,Privada,1,Fecha corte REPS: Mar 6 2021 9:12PM
91,Amazonas,91001,LETICIA,9100100088,LABORATORIO DE CLINICA HUMANA GOMEZ VASQUEZ EU,900243862,,CALLE 8 No. 9-99,592 7183,laboratorioclinicahumanagv@hotmail.com,Privada,1,Fecha corte REPS: Mar 6 2021 9:12PM
91,Amazonas,91001,LETICIA,9100100149,MEDILIVE S.A.S,900924985,,CALLE 13 No. 10-71,3112574871,oapc@hispavista.com,Privada,1,Fecha corte REPS: Mar 6 2021 9:12PM
91,Amazonas,91001,LETICIA,9100100113,ORGANIZACIONES DE IMAGENOLOGIA COLOMBIANA OIC SA,830009112,,CALLE 6 No. 6-60 ESCANOGRAFIA,3115929614,claudia.porras@oicradiologia.com,Privada,1,Fecha corte REPS: Mar 6 2021 9:12PM
91,Amazonas,91001,LETICIA,9100100141,RAFAEL BUSTAMANTE Y CIA LTDA,830142044,,CARRERA 10 No.12-99 BARRIO VICTORIA REGIA,3125422361,rafaignacio2000@yahoo.es,Privada,1,Fecha corte REPS: Mar 6 2021 9:12PM
05,Antioquia,05002,ABEJORRAL,500204360,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,890980643,SI,CL Circular X Kr Calibio,8647181,abejhs01@edatel.net.co,Pública,1,Fecha corte REPS: Mar 6 2021 9:12PM
05,Antioquia,05021,ALEJANDRÍA,502105098,ESE HOSPITAL PBRO LUIS FELIPE ARBELAEZ,800029509,SI,KR 19 # 16 - 70,8660077,hospitalalejandria@gmail.com,Pública,1,Fecha corte REPS: Mar 6 2021 9:12PM
05,Antioquia,05030,AMAGÁ,503004374,ESE HOSPITAL SAN FERNANDO,890906346,SI,Cra 51 No 52 81,8472926,hospital@eseamaga-antioquia.gov.co,Pública,1,Fecha corte REPS: Mar 6 2021 9:12PM
05,Antioquia,05031,AMALFI,503102091,E.S.E HOSPITAL EL CARMEN,890982101,SI,CL 23 # 23 - 40,5748300353,hospitalamalfi@gmail.com,Pública,1,Fecha corte REPS: Mar 6 2021 9:12PM
